Source,CH1,CH2
Second,Volt,Volt
-21.21000000000,0.00200,0.00200
-21.20500000000,0.00400,0.00200
-21.20000000000,0.01000,0.01000
-21.19500000000,0.00200,0.00200
-21.19000000000,0.01600,0.01400
-21.18500000000,0.01400,0.01000
-21.18000000000,0.01600,0.01600
-21.17500000000,0.02000,0.01600
-21.17000000000,0.01400,0.01200
-21.16500000000,0.00400,0.00600
-21.16000000000,-0.00200,-0.00200
-21.15500000000,-0.01000,-0.00800
-21.15000000000,-0.01400,-0.01000
-21.14500000000,-0.01800,-0.01600
-21.14000250000,-0.03000,-0.02400
-21.13500000000,-0.02400,-0.02000
-21.13000000000,-0.03000,-0.02600
-21.12500000000,-0.01400,-0.01000
-21.12000000000,-0.01200,-0.01000
-21.11500000000,-0.01200,-0.01000
-21.11000000000,0.00600,0.00400
-21.10500000000,0.00,0.00
-21.10000000000,0.01400,0.01200
-21.09500000000,0.01400,0.01200
-21.09000000000,0.02400,0.02000
-21.08500000000,0.02000,0.01600
-21.08000000000,0.02400,0.02000
-21.07500000000,0.01600,0.01400
-21.07000000000,0.01400,0.01000
-21.06500000000,0.00,0.00
-21.06000000000,0.00,0.00
-21.05500000000,0.00,0.00
-21.05000000000,0.00,0.00
-21.04500000000,0.00,0.00
-21.04000000000,-0.02000,-0.01600
-21.03500000000,-0.00600,-0.00400
-21.03000000000,-0.00200,-0.00200
-21.02500000000,-0.00200,-0.00200
-21.02000000000,0.01000,0.00800
-21.01500000000,0.01400,0.01200
-21.01000000000,0.01800,0.01600
-21.00500000000,0.02400,0.02000
-21.00000000000,0.01400,0.01000
-20.99500000000,0.01000,0.00800
-20.99000000000,0.01400,0.01200
-20.98499750000,0.00400,0.00400
-20.98000000000,-0.00600,-0.00400
-20.97500000000,-0.02000,-0.01600
-20.96999875000,-0.01600,-0.01200
-20.96500000000,-0.02200,-0.01800
-20.95999875000,-0.03000,-0.02600
-20.95500000000,-0.02800,-0.02400
-20.94999875000,-0.02400,-0.02000
-20.94500000000,-0.02200,-0.01800
-20.94000000000,-0.02000,-0.01600
-20.93500000000,-0.00600,-0.00400
-20.93000000000,-0.00200,-0.00200
-20.92499875000,0.00600,0.00400
-20.92000000000,0.01200,0.01000
-20.91499875000,0.02000,0.01600
-20.91000000000,0.02000,0.02000
-20.90499875000,0.02400,0.01800
-20.90000000000,0.01600,0.01400
-20.89500000000,0.01000,0.00800
-20.89000125000,0.01000,0.00800
-20.88500000000,0.00800,0.00600
-20.88000125000,-0.00600,-0.00400
-20.87500250000,-0.00400,-0.00400
-20.87000125000,-0.01400,-0.01000
-20.86500125000,-0.02000,-0.01600
-20.86000000000,-0.02200,-0.01800
-20.85500125000,-0.02400,-0.02000
-20.85000000000,-0.01800,-0.01400
-20.84500125000,-0.01600,-0.01400
-20.84000250000,-0.01200,-0.01000
-20.83500125000,-0.00800,-0.00800
-20.83000125000,-0.00200,-0.00200
-20.82500125000,0.00200,0.00
-20.82000125000,0.01400,0.01600
-20.81500000000,0.01400,0.01200
-20.81000125000,0.02200,0.02000
-20.80500000000,0.01800,0.01400
-20.80000125000,0.02400,0.02000
-20.79500000000,0.01000,0.00800
-20.79000125000,0.00600,0.00200
-20.78500000000,0.01200,0.01000
-20.78000125000,-0.00800,-0.00800
-20.77500125000,-0.00800,-0.00800
-20.77000000000,-0.01600,-0.01200
-20.76500125000,-0.01600,-0.01200
-20.76000000000,-0.01600,-0.01400
-20.75500125000,-0.02600,-0.02000
-20.75000000000,-0.02800,-0.02200
-20.74500125000,-0.02200,-0.01800
-20.74000125000,-0.01400,-0.01200
-20.73500000000,-0.00800,-0.00800
-20.73000125000,-0.00400,-0.00200
-20.72500000000,0.00600,0.00400
-20.72000125000,0.01200,0.00800
-20.71500000000,0.01400,0.01000
-20.71000125000,0.01800,0.01600
-20.70500000000,0.02000,0.01800
-20.70000125000,0.02600,0.02200
-20.69500000000,0.02200,0.02000
-20.69000000000,0.00400,0.00400
-20.68500000000,0.00400,0.00400
-20.68000000000,-0.00800,-0.00800
-20.67500125000,-0.01400,-0.01200
-20.67000000000,-0.01800,-0.01600
-20.66500125000,-0.01800,-0.01400
-20.66000000000,-0.02200,-0.02000
-20.65500125000,-0.02600,-0.02000
-20.65000000000,-0.02000,-0.01600
-20.64500000000,-0.01800,-0.01600
-20.64000125000,-0.01600,-0.01600
-20.63500000000,-0.00600,-0.00600
-20.63000125000,0.00400,0.00400
-20.62500000000,0.00200,0.00200
-20.62000125000,0.01400,0.01200
-20.61500000000,0.01600,0.01400
-20.61000000000,0.02200,0.02000
-20.60500000000,0.02000,0.01600
-20.60000000000,0.01800,0.01400
-20.59499875000,0.00800,0.00800
-20.59000000000,0.01000,0.01000
-20.58499875000,0.00,0.00
-20.58000000000,-0.00400,-0.00400
-20.57500125000,-0.00600,-0.00600
-20.57000000000,-0.02000,-0.01600
-20.56500000000,-0.02200,-0.02000
-20.56000000000,-0.02200,-0.02000
-20.55500000000,-0.02200,-0.02000
-20.54999875000,-0.02200,-0.02000
-20.54500000000,-0.02200,-0.02000
-20.54000125000,0.01200,0.01200
-20.53500000000,0.01600,0.01400
-20.53000125000,0.02000,0.01600
-20.52500000000,0.01600,0.01200
-20.52000000000,0.01800,0.01600
-20.51500000000,0.01000,0.01000
-20.51000000000,0.01000,0.01000
-20.50499875000,0.00,-0.00200
-20.50000000000,-0.01200,-0.01000
-20.49499875000,-0.01200,-0.00800
-20.49000000000,-0.01800,-0.01400
-20.48499875000,-0.01600,-0.01200
-20.48000000000,-0.03000,-0.02400
-20.47500000000,-0.01800,-0.01600
-20.46999875000,-0.02600,-0.02000
-20.46500000000,-0.01600,-0.01400
-20.45999875000,-0.01200,-0.01200
-20.45500000000,-0.00200,-0.00200
-20.44999875000,-0.00200,-0.00400
-20.44500000000,0.00600,0.00600
-20.44000000000,0.01400,0.01200
-20.43500000000,0.01400,0.01200
-20.43000000000,0.02200,0.01800
-20.42499875000,0.02200,0.02000
-20.42000000000,0.02400,0.02200
-20.41499875000,0.01800,0.01400
-20.41000000000,0.01200,0.00800
-20.40499875000,0.00,0.00
-20.40000000000,-0.00200,-0.00200
-20.39500000000,-0.01200,-0.01000
-20.39000125000,-0.02000,-0.01600
-20.38500000000,-0.01800,-0.01800
-20.38000125000,-0.02400,-0.02000
-20.37500250000,-0.02200,-0.02000
-20.37000125000,-0.02600,-0.02200
-20.36500125000,-0.00600,-0.00600
-20.36000000000,-0.01600,-0.01400
-20.35500125000,-0.00600,-0.00600
-20.35000000000,0.01400,0.01000
-20.34500125000,0.00600,0.00600
-20.34000250000,0.01400,0.01200
-20.33500125000,0.01800,0.01400
-20.33000125000,0.02600,0.02000
-20.32500125000,0.02000,0.01600
-20.32000125000,0.02800,0.02400
-20.31500000000,0.00800,0.00600
-20.31000125000,0.00800,0.00600
-20.30500000000,-0.00200,-0.00200
-20.30000125000,-0.00400,-0.00400
-20.29500000000,-0.00400,-0.00400
-20.29000125000,-0.02000,-0.01600
-20.28500000000,-0.02000,-0.01800
-20.28000125000,-0.02800,-0.02400
-20.27500125000,-0.02000,-0.01600
-20.27000000000,-0.02200,-0.02000
-20.26500125000,-0.01800,-0.01400
-20.26000000000,-0.01600,-0.01400
-20.25500125000,-0.01000,-0.01000
-20.25000000000,-0.00200,-0.00200
-20.24500125000,0.00400,0.00400
-20.24000125000,0.00800,0.00400
-20.23500000000,0.03000,0.02400
-20.23000125000,0.01400,0.01200
-20.22500000000,0.02600,0.02000
-20.22000125000,0.01800,0.01400
-20.21500000000,0.01600,0.01400
-20.21000125000,0.01000,0.01000
-20.20500000000,-0.00200,0.00
-20.20000125000,-0.00800,-0.00800
-20.19500000000,-0.01600,-0.01200
-20.19000000000,-0.02000,-0.01400
-20.18500000000,-0.02200,-0.01800
-20.18000000000,-0.02200,-0.01800
-20.17500125000,-0.02200,-0.01800
-20.17000000000,-0.02400,-0.02000
-20.16500125000,-0.01600,-0.01200
-20.16000000000,-0.01200,-0.01000
-20.15500125000,-0.00800,-0.00600
-20.15000000000,-0.00200,-0.00200
-20.14500000000,0.00200,0.00200
-20.14000125000,0.01600,0.01200
-20.13500000000,0.01600,0.01400
-20.13000125000,0.02600,0.02200
-20.12500000000,0.02800,0.02400
-20.12000125000,0.01800,0.01400
-20.11500000000,0.01000,0.00800
-20.11000000000,0.01000,0.00800
-20.10500000000,0.00200,0.00
-20.10000000000,-0.00200,-0.00200
-20.09499875000,-0.01400,-0.01000
-20.09000000000,-0.01400,-0.01000
-20.08499875000,-0.02400,-0.02000
-20.08000000000,-0.02600,-0.02000
-20.07500125000,-0.02200,-0.01800
-20.07000000000,-0.02000,-0.01800
-20.06500000000,-0.01800,-0.01400
-20.06000000000,-0.01800,-0.01400
-20.05500000000,-0.01800,-0.01400
-20.04999875000,-0.01800,-0.01400
-20.04500000000,-0.01800,-0.01400
-20.04000125000,0.02000,0.01800
-20.03500000000,0.00400,0.00200
-20.03000125000,0.01400,0.01200
-20.02500000000,0.00400,0.00400
-20.02000000000,-0.00400,-0.00200
-20.01500000000,-0.01200,-0.01000
-20.01000000000,-0.01600,-0.01400
-20.00499875000,-0.02400,-0.02200
-20.00000000000,-0.02600,-0.02200
-19.99499875000,-0.03000,-0.02400
-19.99000000000,-0.02400,-0.02000
-19.98499875000,-0.02000,-0.01600
-19.98000000000,-0.01800,-0.01400
-19.97500000000,-0.01000,-0.00800
-19.96999875000,0.01000,0.00800
-19.96500000000,0.00600,0.00400
-19.95999875000,0.00800,0.00600
-19.95500000000,0.01600,0.01200
-19.94999875000,0.02200,0.02000
-19.94500000000,0.01400,0.01200
-19.94000000000,0.01800,0.01400
-19.93500000000,0.01200,0.01200
-19.93000000000,0.00800,0.00600
-19.92499875000,0.00200,0.00
-19.92000000000,-0.00400,-0.00200
-19.91499875000,-0.01000,-0.01000
-19.91000000000,-0.01600,-0.01400
-19.90499875000,-0.02800,-0.02200
-19.90000000000,-0.02600,-0.02400
-19.89500000000,-0.02600,-0.02200
-19.89000125000,-0.02400,-0.01800
-19.88500000000,-0.01400,-0.01000
-19.88000125000,-0.01600,-0.01400
-19.87500250000,-0.00400,-0.00400
-19.87000125000,-0.00200,-0.00200
-19.86500125000,0.00600,0.00400
-19.86000000000,0.01200,0.01200
-19.85500125000,0.01800,0.01600
-19.85000000000,0.02200,0.02000
-19.84500125000,0.02200,0.01600
-19.84000250000,0.01600,0.01400
-19.83500125000,0.01000,0.00800
-19.83000125000,-0.00200,-0.00200
-19.82500125000,0.00,0.00
-19.82000125000,-0.00600,-0.00400
-19.81500000000,-0.01200,-0.01000
-19.81000125000,-0.02000,-0.01600
-19.80500000000,-0.02600,-0.02200
-19.80000125000,-0.02200,-0.01600
-19.79500000000,-0.01600,-0.01400
-19.79000125000,-0.02600,-0.02200
-19.78500000000,-0.02400,-0.02000
-19.78000125000,-0.01000,-0.00800
-19.77500125000,-0.00400,-0.00400
-19.77000000000,0.00400,0.00200
-19.76500125000,0.01200,0.01000
-19.76000000000,0.01200,0.00800
-19.75500125000,0.02000,0.01600
-19.75000000000,0.02800,0.02200
-19.74500125000,0.02200,0.02000
-19.74000125000,0.02400,0.02200
-19.73500000000,0.01600,0.01600
-19.73000125000,0.01200,0.01000
-19.72500000000,-0.00200,-0.00200
-19.72000125000,-0.00600,-0.00400
-19.71500000000,-0.01400,-0.01000
-19.71000125000,-0.01800,-0.01400
-19.70500000000,-0.02400,-0.01800
-19.70000125000,-0.02200,-0.01800
-19.69500000000,-0.02200,-0.01800
-19.69000000000,-0.02200,-0.01800
-19.68500000000,-0.02200,-0.01800
-19.68000000000,-0.01400,-0.01200
-19.67500125000,-0.01000,-0.00800
-19.67000000000,-0.00200,-0.00200
-19.66500125000,-0.00200,-0.00200
-19.66000000000,0.01000,0.00800
-19.65500125000,0.01600,0.01200
-19.65000000000,0.02400,0.02000
-19.64500000000,0.02200,0.01800
-19.64000125000,0.02400,0.01800
-19.63500000000,0.01000,0.01000
-19.63000125000,0.00600,0.00400
-19.62500000000,0.00200,0.00200
-19.62000125000,-0.01200,-0.01000
-19.61500000000,-0.00400,-0.00200
-19.61000000000,-0.01800,-0.01600
-19.60500000000,-0.01800,-0.01600
-19.60000000000,-0.02800,-0.02600
-19.59499875000,-0.02600,-0.02200
-19.59000000000,-0.02200,-0.01800
-19.58499875000,-0.01200,-0.00800
-19.58000000000,-0.01600,-0.01200
-19.57500125000,-0.00600,-0.00400
-19.57000000000,-0.00200,-0.00200
-19.56500000000,0.00400,0.00200
-19.56000000000,0.00400,0.00200
-19.55500000000,0.00400,0.00200
-19.54999875000,0.00400,0.00200
-19.54500000000,0.00400,0.00200
-19.54000125000,-0.00200,-0.00200
-19.53500000000,-0.01400,-0.01000
-19.53000125000,-0.01800,-0.01400
-19.52500000000,-0.02000,-0.01800
-19.52000000000,-0.02600,-0.02200
-19.51500000000,-0.01800,-0.01600
-19.51000000000,-0.02800,-0.02400
-19.50499875000,-0.02000,-0.01800
-19.50000000000,-0.01200,-0.01000
-19.49499875000,-0.00400,-0.00400
-19.49000000000,-0.00400,-0.00200
-19.48499875000,0.00600,0.00400
-19.48000000000,0.01800,0.01400
-19.47500000000,0.02800,0.02400
-19.46999875000,0.02200,0.01800
-19.46500000000,0.02000,0.02000
-19.45999875000,0.03400,0.02600
-19.45500000000,0.01000,0.01000
-19.44999875000,0.01000,0.01000
-19.44500000000,0.00,0.00200
-19.44000000000,-0.00600,-0.00400
-19.43500000000,-0.00800,-0.00800
-19.43000000000,-0.01400,-0.01200
-19.42499875000,-0.02000,-0.01400
-19.42000000000,-0.02600,-0.02000
-19.41499875000,-0.02200,-0.01800
-19.41000000000,-0.02600,-0.02200
-19.40499875000,-0.01600,-0.01600
-19.40000000000,-0.01200,-0.01000
-19.39500000000,-0.01200,-0.01000
-19.39000125000,-0.00200,-0.00200
-19.38500000000,0.00200,0.00200
